Dataset: ;Last updated: ;Time frequency;Land use;Unit of measure;Region;Year;Value;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Neu-Ulm;2022;516;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lindau (Bodensee);2022;323;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ostallgäu;2022;1394;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Unterallgäu;2022;1230;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Donau-Ries;2022;1275;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oberallgäu;2022;1528;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Berlin;2022;891;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Berlin;2022;891;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Berlin;2022;891;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Brandenburg;2022;29656;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Brandenburg;2022;29656;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Brandenburg an der Havel, Kreisfreie Stadt;2022;230;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Cottbus, Kreisfreie Stadt;2022;166;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Frankfurt (Oder), Kreisfreie Stadt;2022;148;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Potsdam, Kreisfreie Stadt;2022;188;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Barnim;2022;1480;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dahme-Spreewald;2022;2274;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Elbe-Elster;2022;1900;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Havelland;2022;1727;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Märkisch-Oderland;2022;2159;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oberhavel;2022;1808;
