NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
ITH3;Verona;3.1100715990453462;SO2;41900;43920;µg/m3
ITH3;Vicenza;3.1100715990453462;SO2;41900;43920;µg/m3
LT02;Kaunas;6.231272218920571;SO2;34648;35136;µg/m3
LT02;Klaipeda;6.231272218920571;SO2;34648;35136;µg/m3
LT01;Vilnius;7.988992302951516;SO2;17287;17568;µg/m3
LT02;Siauliai;6.231272218920571;SO2;34648;35136;µg/m3
LU00;Luxembourg;1.95788748048751;SO2;7981;8784;µg/m3
LV00;Liepaja;1.6063664439890788;SO2;25881;26352;µg/m3
LV00;Riga;1.6063664439890788;SO2;25881;26352;µg/m3
MT00;Valletta;0.5900428387750557;SO2;8637;8784;µg/m3
NL32;Amsterdam;0.2808451678189573;SO2;8661;8784;µg/m3
NO08;Oslo;0.2724574680281869;SO2;8231;8784;µg/m3
PL84;Bialystok;1.938013588948939;SO2;25312;25477;µg/m3
PL61;Bydgoszcz;1.563784059480928;SO2;50718;51092;µg/m3
PL22;Czestochowa;7.88558105863165;SO2;26207;26289;µg/m3
PL62;Elblag;4.277705936338747;SO2;17240;17350;µg/m3
PL63;Gdansk;3.2885327037402163;SO2;42762;43460;µg/m3
PL63;Gdynia;3.2885327037402163;SO2;42762;43460;µg/m3
PL43;Gorzow Wielkopolski;6.650081181787334;SO2;16623;16833;µg/m3
PL61;Inowroclaw;1.563784059480928;SO2;50718;51092;µg/m3
PL51;Jelenia Gora;4.734032330069232;SO2;34090;34732;µg/m3
PL41;Kalisz;4.1557752715827245;SO2;16977;17258;µg/m3
PL72;Kielce;10.362694593649497;SO2;8736;8760;µg/m3
PL42;Koszalin;3.0107861494763415;SO2;17397;17556;µg/m3
PL21;Krakow;5.146467074141373;SO2;25948;26156;µg/m3
PL51;Legnica;4.734032330069232;SO2;34090;34732;µg/m3
PL84;Lomza;1.938013588948939;SO2;25312;25477;µg/m3
PL81;Lublin;4.288260025657069;SO2;17375;17430;µg/m3
PL71;Lodz;4.938869656911289;SO2;34656;34981;µg/m3
PL21;Nowy Sacz;5.146467074141373;SO2;25948;26156;µg/m3
PL62;Olsztyn;4.277705936338747;SO2;17240;17350;µg/m3
PL52;Opole;3.6340940309455245;SO2;8757;8763;µg/m3
PL71;Piotrkow Trybunalski;4.938869656911289;SO2;34656;34981;µg/m3
PL92;Plock;3.4239151655762754;SO2;25580;26160;µg/m3
PL41;Poznan;4.1557752715827245;SO2;16977;17258;µg/m3
PL82;Przemysl;3.703156944949294;SO2;17455;17536;µg/m3
PL92;Radom;3.4239151655762754;SO2;25580;26160;µg/m3
PL22;Rybnik;7.88558105863165;SO2;26207;26289;µg/m3
PL82;Rzeszow;3.703156944949294;SO2;17455;17536;µg/m3
PL42;Szczecin;3.0107861494763415;SO2;17397;17556;µg/m3
PL21;Tarnow;5.146467074141373;SO2;25948;26156;µg/m3
PL61;Torun;1.563784059480928;SO2;50718;51092;µg/m3
PL51;Walbrzych;4.734032330069232;SO2;34090;34732;µg/m3
PL91;Warszawa;2.813277235836414;SO2;8692;8741;µg/m3
PL61;Wloclawek;1.563784059480928;SO2;50718;51092;µg/m3
PL51;Wroclaw;4.734032330069232;SO2;34090;34732;µg/m3
PL81;Zamosc;4.288260025657069;SO2;17375;17430;µg/m3
PL71;Zgierz;4.938869656911289;SO2;34656;34981;µg/m3
PL43;Zielona Gora;6.650081181787334;SO2;16623;16833;µg/m3
PL22;Zory;7.88558105863165;SO2;26207;26289;µg/m3
PT16;Aveiro;2.5173021265886497;SO2;7947;8784;µg/m3
PT30;Funchal;2.6215760033220086;SO2;8769;8784;µg/m3
PT17;Lisboa;0.7568668000696884;SO2;50766;52704;µg/m3
PT17;Setubal;0.7568668000696884;SO2;50766;52704;µg/m3
PT17;Sintra;0.7568668000696884;SO2;50766;52704;µg/m3
RO12;Brasov;5.867052111477916;SO2;10611;17568;µg/m3
RO32;Bucuresti;5.60069301730641;SO2;8297;8784;µg/m3
RO22;Constanta;5.292847874945647;SO2;11103;17568;µg/m3
RO41;Craiova;10.394067050671449;SO2;16673;17568;µg/m3
RO22;Galati;5.292847874945647;SO2;11103;17568;µg/m3
RO21;Iasi;4.620821351305941;SO2;2435;8784;µg/m3
RO12;Sibiu;5.867052111477916;SO2;10611;17568;µg/m3
SE22;Helsingborg;1.2563095951006635;SO2;16492;16492;µg/m3
SE12;Linkoping;0.25;SO2;11;11;µg/m3
SE22;Malmo;1.2563095951006635;SO2;16492;16492;µg/m3
SE11;Stockholm;0.3636363636363636;SO2;11;11;µg/m3
SI04;Ljubljana;3.0279304543721186;SO2;8369;8784;µg/m3
SK03;Banska Bystrica;6.937331179960619;SO2;8387;8387;µg/m3
SK01;Bratislava;2.5176149680035516;SO2;16930;16930;µg/m3
SK04;Kosice;4.311468738530243;SO2;8253;8253;µg/m3
SK02;Trencin;2.749332283964721;SO2;8389;8389;µg/m3
AT22;Graz;20.93555283990998;PM10;62289;62586;µg/m3
AT33;Innsbruck;14.841072433812185;PM10;18100;18300;µg/m3
AT21;Klagenfurt;16.81105189967626;PM10;17340;17568;µg/m3
AT31;Linz;17.952127744024313;PM10;35835;36234;µg/m3
AT32;Salzburg;13.405373668523472;PM10;26614;26695;µg/m3
AT13;Wien;16.083596127497355;PM10;115400;115997;µg/m3
BE21;Antwerpen;22.167574323289436;PM10;47999;52703;µg/m3
BE32;Charleroi;15.773411485994917;PM10;26121;26352;µg/m3
BE33;Liege;14.476397262031943;PM10;34993;35136;µg/m3
BE35;Namur;16.80771435715037;PM10;8670;8784;µg/m3
BG41;Blagoevgrad;29.314234489135657;PM10;2789;2789;µg/m3
BG34;Burgas;21.46250351272859;PM10;1422;1422;µg/m3
BG33;Dobrich;25.64843860559247;PM10;1409;1409;µg/m3
BG42;Haskovo;34.50686318682528;PM10;1323;1323;µg/m3
BG42;Pazardzhik;34.50686318682528;PM10;1323;1323;µg/m3
BG41;Pernik;29.314234489135657;PM10;2789;2789;µg/m3
BG31;Pleven;32.797878783872974;PM10;1056;1056;µg/m3
BG42;Plovdiv;34.50686318682528;PM10;1323;1323;µg/m3
BG32;Ruse;31.794521493994402;PM10;721;721;µg/m3
BG33;Shumen;25.64843860559247;PM10;1409;1409;µg/m3
BG34;Sliven;21.46250351272859;PM10;1422;1422;µg/m3
BG41;Sofia;29.314234489135657;PM10;2789;2789;µg/m3
BG34;Stara Zagora;21.46250351272859;PM10;1422;1422;µg/m3
BG33;Varna;25.64843860559247;PM10;1409;1409;µg/m3
BG32;Veliko Tarnovo;31.794521493994402;PM10;721;721;µg/m3
BG31;Vidin;32.797878783872974;PM10;1056;1056;µg/m3
BG31;Vratsa;32.797878783872974;PM10;1056;1056;µg/m3
CH03;Basel;14.215779771674162;PM10;890;1098;µg/m3
CH02;Bern;14.3119345595765;PM10;732;732;µg/m3
CH01;Geneve;13.810287632943988;PM10;1464;1464;µg/m3
CH01;Lausanne;13.810287632943988;PM10;1464;1464;µg/m3
CH07;Lugano;16.035262428005453;PM10;732;732;µg/m3
CH06;Luzern;14.744307119671248;PM10;365;366;µg/m3
CH05;St. Gallen;13.244848903743172;PM10;366;366;µg/m3
CH04;Winterthur;13.30819744850646;PM10;2551;2562;µg/m3
CH04;Zurich;13.30819744850646;PM10;2551;2562;µg/m3
CY00;Lefkosia;30.828688520901608;PM10;732;732;µg/m3
CY00;Lemesos;30.828688520901608;PM10;732;732;µg/m3
CZ06;Brno;19.250479574361876;PM10;93883;95945;µg/m3
CZ03;Ceske Budejovice;16.2947232650805;PM10;86834;87830;µg/m3
CZ08;Havirov;22.050206653797265;PM10;112507;112790;µg/m3
CZ05;Hradec Kralove;17.234646895181445;PM10;26975;27076;µg/m3
CZ06;Jihlava;19.250479574361876;PM10;93883;95945;µg/m3
CZ04;Karlovy Vary;20.13107302956364;PM10;35246;35497;µg/m3
CZ08;Karvina;22.050206653797265;PM10;112507;112790;µg/m3
CZ02;Kladno;19.146522234891677;PM10;17540;17566;µg/m3
CZ05;Liberec;17.234646895181445;PM10;26975;27076;µg/m3
CZ04;Most;20.13107302956364;PM10;35246;35497;µg/m3
CZ07;Olomouc;19.933430861083234;PM10;34178;34296;µg/m3
CZ08;Ostrava;22.050206653797265;PM10;112507;112790;µg/m3
CZ05;Pardubice;17.234646895181445;PM10;26975;27076;µg/m3
CZ03;Plzen;16.2947232650805;PM10;86834;87830;µg/m3
CZ01;Praha;18.435150784233475;PM10;113639;114196;µg/m3
CZ07;Zlin;19.933430861083234;PM10;34178;34296;µg/m3
CZ04;Usti nad Labem;20.13107302956364;PM10;35246;35497;µg/m3
DEA2;Aachen;14.921665387742614;PM10;78399;79971;µg/m3
DE27;Augsburg;15.309237245783828;PM10;34974;35136;µg/m3
DE24;Bamberg;15.231560691048285;PM10;17442;17568;µg/m3
DE24;Bayreuth;15.231560691048285;PM10;17442;17568;µg/m3
DE30;Berlin;18.921961392152323;PM10;85327;87840;µg/m3
DEA4;Bielefeld;17.08855238763206;PM10;21874;26535;µg/m3
DEA2;Bonn;14.921665387742614;PM10;78399;79971;µg/m3
DE40;Brandenburg an der Havel;13.698997351506481;PM10;88466;88572;µg/m3
