code;city;NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
CZ04;Severozápad;CZ04;Most;51.96176821610374;O3;18414;19006;µg/m3
CZ04;Severozápad;CZ04;Usti nad Labem;51.96176821610374;O3;18414;19006;µg/m3
CZ04;Severozápad;CZ04;Most;19.656451414349124;NO2;33078;35132;µg/m3
CZ04;Severozápad;CZ04;Usti nad Labem;19.656451414349124;NO2;33078;35132;µg/m3
CZ04;Severozápad;CZ04;Usti nad Labem;0.3861242194851907;CO;8314;8783;µg/m3
CZ04;Severozápad;CZ04;Most;10.92733373454974;NO;33080;35132;µg/m3
CZ04;Severozápad;CZ04;Usti nad Labem;10.92733373454974;NO;33080;35132;µg/m3
BE33;Prov. Liège;BE33;Liege;2.589235459662289;SO2;8528;8784;µg/m3
BE33;Prov. Liège;BE33;Liege;14.476397262031943;PM10;34993;35136;µg/m3
BE33;Prov. Liège;BE33;Liege;49.66904591958125;O3;16812;17568;µg/m3
BE33;Prov. Liège;BE33;Liege;16.65737774285196;NO2;16543;17568;µg/m3
BE33;Prov. Liège;BE33;Liege;0.2041165503969243;CO;8314;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;17.653149494516338;PM10;8693;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;29.56030949853216;NO2;8693;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;0.3007471150966189;CO;8694;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;23.723437592205308;NO;8693;8784;µg/m3
NL42;Limburg (NL);NL42;Heerlen;15.754112578207463;PM10;17303;17568;µg/m3
NL42;Limburg (NL);NL42;Heerlen;54.563937467026136;O3;8668;8784;µg/m3
NL42;Limburg (NL);NL42;Heerlen;15.271429473893027;NO2;17342;17568;µg/m3
NL42;Limburg (NL);NL42;Heerlen;5.231943257041305;NO;17342;17568;µg/m3
CZ08;Moravskoslezsko;CZ08;Karvina;6.639260363547752;SO2;50728;52207;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;6.639260363547752;SO2;50728;52207;µg/m3
CZ08;Moravskoslezsko;CZ08;Havirov;22.050206653797265;PM10;112507;112790;µg/m3
CZ08;Moravskoslezsko;CZ08;Karvina;22.050206653797265;PM10;112507;112790;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;22.050206653797265;PM10;112507;112790;µg/m3
CZ08;Moravskoslezsko;CZ08;Karvina;50.44869353377003;O3;33717;34667;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;50.44869353377003;O3;33717;34667;µg/m3
CZ08;Moravskoslezsko;CZ08;Karvina;17.074978812889174;NO2;75528;77278;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;17.074978812889174;NO2;75528;77278;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;0.3674492299062626;CO;25709;26133;µg/m3
CZ08;Moravskoslezsko;CZ08;Karvina;5.755051700846328;NO;75529;77279;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;5.755051700846328;NO;75529;77279;µg/m3
CH03;Nordwestschweiz;CH03;Basel;0.9821914713573048;SO2;8760;8784;µg/m3
CH03;Nordwestschweiz;CH03;Basel;14.215779771674162;PM10;890;1098;µg/m3
CH03;Nordwestschweiz;CH03;Basel;50.41785420117463;O3;17539;17568;µg/m3
CH03;Nordwestschweiz;CH03;Basel;23.611860865932226;NO2;26082;26352;µg/m3
CH03;Nordwestschweiz;CH03;Basel;11.316318513036322;NO;26081;26352;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;1.174246596325098;SO2;7407;8784;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Pordenone;18.797537545106835;PM10;43562;45018;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;18.797537545106835;PM10;43562;45018;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;18.797537545106835;PM10;43562;45018;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;56.84399153623904;O3;24277;26352;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;56.84399153623904;O3;24277;26352;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Pordenone;20.61763791977723;NO2;48480;52704;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;20.61763791977723;NO2;48480;52704;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;20.61763791977723;NO2;48480;52704;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;0.4706021758178057;CO;15884;17568;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Pordenone;8.324585116341984;NO;40303;43920;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;8.324585116341984;NO;40303;43920;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;8.324585116341984;NO;40303;43920;µg/m3
CZ07;Strední Morava;CZ07;Zlin;1.7889311933993353;SO2;7354;8783;µg/m3
CZ07;Strední Morava;CZ07;Olomouc;19.933430861083234;PM10;34178;34296;µg/m3
CZ07;Strední Morava;CZ07;Zlin;19.933430861083234;PM10;34178;34296;µg/m3
CZ07;Strední Morava;CZ07;Zlin;46.79782289400997;O3;17041;17566;µg/m3
CZ07;Strední Morava;CZ07;Olomouc;14.902625266885083;NO2;25445;26349;µg/m3
CZ07;Strední Morava;CZ07;Zlin;14.902625266885083;NO2;25445;26349;µg/m3
CZ07;Strední Morava;CZ07;Olomouc;4.7708305475972494;NO;25441;26349;µg/m3
CZ07;Strední Morava;CZ07;Zlin;4.7708305475972494;NO;25441;26349;µg/m3
DE73;Kassel;DE73;Kassel;0.8731801898185134;SO2;8709;8784;µg/m3
DE73;Kassel;DE73;Fulda;16.24765048187014;PM10;35084;35258;µg/m3
DE73;Kassel;DE73;Kassel;16.24765048187014;PM10;35084;35258;µg/m3
DE73;Kassel;DE73;Fulda;47.69658685325398;O3;17362;17568;µg/m3
DE73;Kassel;DE73;Kassel;47.69658685325398;O3;17362;17568;µg/m3
DE73;Kassel;DE73;Fulda;23.689523259862348;NO2;35015;35136;µg/m3
DE73;Kassel;DE73;Kassel;23.689523259862348;NO2;35015;35136;µg/m3
DE73;Kassel;DE73;Fulda;0.3069663504723585;CO;17529;17568;µg/m3
DE73;Kassel;DE73;Kassel;0.3069663504723585;CO;17529;17568;µg/m3
DE73;Kassel;DE73;Fulda;14.36978963847856;NO;35012;35136;µg/m3
DE73;Kassel;DE73;Kassel;14.36978963847856;NO;35012;35136;µg/m3
ES53;Illes Balears;ES53;Palma de Mallorca;2.841972557757711;SO2;17054;17568;µg/m3
ES53;Illes Balears;ES53;Palma de Mallorca;17.420087591240875;PM10;17125;17568;µg/m3
ES53;Illes Balears;ES53;Palma de Mallorca;65.38359124087592;O3;17125;17568;µg/m3
ES53;Illes Balears;ES53;Palma de Mallorca;15.733889310083397;NO2;17147;17568;µg/m3
ES53;Illes Balears;ES53;Palma de Mallorca;0.3821411819781913;CO;8528;8784;µg/m3
ES53;Illes Balears;ES53;Palma de Mallorca;6.951991600822789;NO;17147;17568;µg/m3
CZ01;Praha;CZ01;Praha;1.86247883836725;SO2;16540;17566;µg/m3
CZ01;Praha;CZ01;Praha;18.435150784233475;PM10;113639;114196;µg/m3
CZ01;Praha;CZ01;Praha;49.39731106171413;O3;50057;52698;µg/m3
CZ01;Praha;CZ01;Praha;22.07110216737993;NO2;99177;103966;µg/m3
CZ01;Praha;CZ01;Praha;0.3881996733057148;CO;16408;17566;µg/m3
CZ01;Praha;CZ01;Praha;9.557885501327586;NO;99182;103968;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;14.93736018966978;PM10;26186;26352;µg/m3
DE26;Unterfranken;DE26;Wurzburg;14.93736018966978;PM10;26186;26352;µg/m3
DE26;Unterfranken;DE26;Aschaffenburg;46.122924776068366;O3;26237;26352;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;46.122924776068366;O3;26237;26352;µg/m3
DE26;Unterfranken;DE26;Wurzburg;46.122924776068366;O3;26237;26352;µg/m3
DE26;Unterfranken;DE26;Aschaffenburg;22.100180135102487;NO2;26281;26352;µg/m3
